,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.6472222,1183.9044,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
1,0.8527778,1021.0195,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
2,0.525,945.22797,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
3,0.73333335,811.4061,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
4,0.73333335,796.00354,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
5,0.6611111,672.8052,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
6,0.66944444,704.43744,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
7,0.58035713,687.06177,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
8,0.6625,612.8959,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
9,0.6464286,604.06354,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
10,0.525,603.9605,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
11,0.55833334,498.27496,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_Without_EA
