,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.8125,943.90424,2304.0,1,session_E,22,2,001-2014,EEGNetv4_EA
1,0.6666667,1052.8799,2304.0,2,session_E,22,2,001-2014,EEGNetv4_EA
2,0.9166667,995.65717,2304.0,3,session_E,22,2,001-2014,EEGNetv4_EA
3,0.6458333,743.4991,2304.0,4,session_E,22,2,001-2014,EEGNetv4_EA
4,0.5833333,729.3119,2304.0,5,session_E,22,2,001-2014,EEGNetv4_EA
5,0.6666667,767.2474,2304.0,6,session_E,22,2,001-2014,EEGNetv4_EA
6,0.7916667,830.48883,2304.0,7,session_E,22,2,001-2014,EEGNetv4_EA
7,0.9375,715.909,2304.0,8,session_E,22,2,001-2014,EEGNetv4_EA
8,0.7708333,656.0693,2304.0,9,session_E,22,2,001-2014,EEGNetv4_EA
