,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9027778,887.44653,5200.0,1,both,13,2,BNCI2015-001,EEGNetv4_EA
1,0.9777778,875.51654,5200.0,2,both,13,2,BNCI2015-001,EEGNetv4_EA
2,0.5638889,859.58936,5200.0,3,both,13,2,BNCI2015-001,EEGNetv4_EA
3,0.9111111,802.62396,5200.0,4,both,13,2,BNCI2015-001,EEGNetv4_EA
4,0.84444445,1061.9293,5200.0,5,both,13,2,BNCI2015-001,EEGNetv4_EA
5,0.6861111,1272.9958,5200.0,6,both,13,2,BNCI2015-001,EEGNetv4_EA
6,0.71666664,1402.066,5200.0,7,both,13,2,BNCI2015-001,EEGNetv4_EA
7,0.6017857,1319.1168,5000.0,8,both,13,2,BNCI2015-001,EEGNetv4_EA
8,0.7803571,1316.1637,5000.0,9,both,13,2,BNCI2015-001,EEGNetv4_EA
9,0.675,1256.2012,5000.0,10,both,13,2,BNCI2015-001,EEGNetv4_EA
10,0.50535715,1525.3271,5000.0,11,both,13,2,BNCI2015-001,EEGNetv4_EA
11,0.6,1464.5186,5200.0,12,both,13,2,BNCI2015-001,EEGNetv4_EA
